iter	Passed	Remaining
733	10755	3897
734	10763	3880
735	10785	3868
736	10802	3854
737	10818	3840
738	10825	3823
739	10835	3807
740	10851	3793
741	10868	3779
742	10886	3765
743	10901	3751
744	10916	3736
745	10931	3721
746	10945	3707
747	10961	3692
748	10971	3676
749	10985	3661
750	11000	3647
751	11015	3632
752	11029	3618
753	11044	3603
754	11060	3589
755	11081	3576
756	11096	3562
757	11104	3545
758	11114	3528
759	11128	3514
760	11150	3501
761	11168	3488
762	11175	3471
763	11184	3455
764	11192	3438
765	11203	3422
766	11212	3406
767	11220	3389
768	11230	3373
769	11239	3357
770	11249	3341
771	11257	3324
772	11266	3308
773	11274	3291
774	11284	3276
775	11293	3259
776	11302	3243
777	11313	3228
778	11320	3211
779	11330	3195
780	11337	3179
781	11347	3163
782	11354	3146
783	11364	3131
784	11371	3114
785	11382	3098
786	11390	3082
787	11398	3066
788	11409	3051
789	11417	3034
790	11427	3019
791	11434	3003
792	11444	2987
793	11453	2971
794	11465	2956
795	11475	2940
796	11482	2924
797	11492	2909
798	11499	2892
799	11510	2877
800	11517	2861
801	11527	2846
802	11535	2829
803	11544	2814
804	11552	2798
805	11564	2783
806	11575	2768
807	11582	2752
808	11591	2736
809	11599	2720
810	11608	2705
811	11616	2689
812	11625	2674
813	11632	2658
814	11642	2642
815	11649	2626
816	11659	2611
817	11666	2595
818	11675	2580
819	11682	2564
820	11692	2549
821	11699	2533
822	11712	2519
823	11722	2503
824	11729	2488
825	11739	2473
826	11748	2457
827	11760	2442
828	11773	2428
829	11780	2412
830	11790	2397
831	11797	2382
832	11807	2367
833	11814	2351
834	11825	2336
835	11834	2321
836	11842	2306
837	11851	2291
838	11858	2275
839	11868	2260
840	11876	2245
841	11885	2230
842	11893	2214
843	11903	2200
844	11910	2184
845	11920	2169
846	11928	2154
847	11937	2139
848	11944	2124
849	11953	2109
850	11961	2094
851	11979	2080
852	11993	2066
853	12008	2053
854	12019	2038
855	12039	2025
856	12051	2010
857	12066	1997
858	12082	1983
859	12096	1969
860	12104	1954
861	12113	1939
862	12123	1924
863	12132	1909
864	12139	1894
865	12148	1879
866	12156	1864
867	12164	1849
868	12172	1834
869	12182	1820
870	12195	1806
871	12203	1791
872	12214	1776
873	12230	1763
874	12246	1749
875	12263	1735
876	12273	1721
877	12283	1706
878	12293	1692
879	12301	1677
880	12311	1662
881	12318	1648
882	12330	1633
883	12337	1619
884	12347	1604
885	12355	1589
886	12365	1575
887	12373	1560
888	12385	1546
889	12395	1532
890	12403	1517
891	12412	1502
892	12419	1488
893	12428	1473
894	12435	1458
895	12446	1444
896	12453	1430
897	12462	1415
898	12470	1400
899	12478	1386
900	12485	1371
901	12495	1357
902	12503	1343
903	12511	1328
904	12521	1314
905	12528	1299
906	12535	1285
907	12545	1271
908	12551	1256
909	12560	1242
910	12567	1227
911	12576	1213
912	12583	1199
913	12591	1184
914	12598	1170
915	12606	1156
916	12613	1141
917	12621	1127
918	12628	1113
919	12636	1098
920	12644	1084
921	12653	1070
922	12660	1056
923	12667	1041
924	12675	1027
925	12682	1013
926	12689	999
927	12697	985
928	12705	970
929	12712	956
930	12720	942
931	12727	928
932	12736	914
933	12744	900
934	12755	886
935	12763	872
936	12777	859
937	12788	845
938	12796	831
939	12804	817
940	12811	803
941	12819	789
942	12826	775
943	12835	761
944	12842	747
945	12850	733
946	12858	719
947	12867	705
948	12875	691
949	12883	678
950	12891	664
951	12899	650
952	12907	636
953	12917	622
954	12926	609
955	12937	595
956	12945	581
957	12956	568
958	12967	554
959	12974	540
960	12984	526
961	12991	513
962	13002	499
963	13010	485
964	13021	472
965	13032	458
966	13039	444
967	13050	431
968	13057	417
969	13069	404
970	13082	390
971	13095	377
972	13106	363
973	13120	350
974	13134	336
975	13146	323
976	13156	309
977	13170	296
978	13187	282
979	13201	269
980	13212	255
981	13222	242
982	13235	228
983	13249	215
984	13259	201
985	13270	188
986	13284	174
987	13301	161
988	13315	148
989	13325	134
990	13338	121
991	13350	107
992	13363	94
993	13371	80
994	13384	67
995	13396	53
996	13404	40
997	13417	26
998	13429	13
999	13438	0
